,match_id,bigmatchflag
314,20100911-M-US_Open-SF-Rafael_Nadal-Mikhail_Youzhny,True
315,20100903-M-US_Open-SF-Novak_Djokovic-Roger_Federer,True
316,20100704-M-Wimbledon-F-Tomas_Berdych-Rafael_Nadal,True
317,20100702-M-Wimbledon-SF-Tomas_Berdych-Novak_Djokovic,True
318,20100702-M-Wimbledon-SF-Andy_Murray-Rafael_Nadal,True
319,20100606-M-Roland_Garros-F-Robin_Soderling-Rafael_Nadal,True
320,20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,True
321,20100128-M-Australian_Open-SF-Roger_Federer-Jo_Wilfried_Tsonga,True
322,20100128-M-Australian_Open-SF-Andy_Murray-Marin_Cilic,True
323,20100126-M-Australian_Open-QF-Novak_Djokovic-Jo_Wilfried_Tsonga,True
324,20100124-M-Australian_Open-R16-Roger_Federer-Lleyton_Hewitt,True
325,20090914-M-US_Open-F-Roger_Federer-Juan_Martin_Del_Potro,True
326,20090913-M-US_Open-SF-Novak_Djokovic-Roger_Federer,True
327,20090913-M-US_Open-SF-Juan_Martin_Del_Potro-Rafael_Nadal,True
328,20090910-M-US_Open-QF-Juan_Martin_Del_Potro-Marin_Cilic,True
329,20090905-M-US_Open-R32-Roger_Federer-Lleyton_Hewitt,True
330,20090705-M-Wimbledon-F-Andy_Roddick-Roger_Federer,True
331,20090703-M-Wimbledon-SF-Tommy_Haas-Roger_Federer,True
332,20090703-M-Wimbledon-SF-Andy_Roddick-Andy_Murray,True
333,20090701-M-Wimbledon-QF-Andy_Roddick-Lleyton_Hewitt,True
334,20090607-M-Roland_Garros-F-Robin_Soderling-Roger_Federer,True
335,20090605-M-Roland_Garros-SF-Roger_Federer-Juan_Martin_Del_Potro,True
336,20090601-M-Roland_Garros-R16-Roger_Federer-Tommy_Haas,True
337,20090601-M-Roland_Garros-R16-Juan_Martin_Del_Potro-Jo_Wilfried_Tsonga,True
338,20090531-M-Roland_Garros-R16-Robin_Soderling-Rafael_Nadal,True
339,20090201-M-Australian_Open-F-Roger_Federer-Rafael_Nadal,True
340,20090130-M-Australian_Open-SF-Fernando_Verdasco-Rafael_Nadal,True
341,20090129-M-Australian_Open-SF-Andy_Roddick-Roger_Federer,True
342,20080908-M-US_Open-F-Roger_Federer-Andy_Murray,True
343,20080905-M-US_Open-SF-Rafael_Nadal-Andy_Murray,True
